rssi1,rssi2,rssi3,x,y
-77.025,-111.404,-73.184,1.600,0.000
-77.025,-111.390,-73.149,3.200,0.000
-77.025,-112.384,-73.114,4.800,0.000
-77.025,-109.870,-73.079,6.400,0.000
-77.025,-108.863,-73.043,8.000,0.000
-77.025,-108.550,-73.008,9.600,0.000
-77.025,-107.836,-72.972,11.200,0.000
-77.037,-104.429,-72.936,12.800,0.000
-77.037,-104.715,-72.900,14.400,0.000
-77.037,-104.809,-72.864,16.000,0.000
-77.037,-104.895,-72.828,17.600,0.000
-77.037,-102.481,-72.791,19.200,0.000
-77.037,-102.274,-72.755,20.800,0.000
-77.037,-102.861,-72.718,22.400,0.000
-77.037,-103.754,-72.681,24.000,0.000
-77.048,-101.440,-72.644,25.600,0.000
-77.048,-102.533,-72.607,27.200,0.000
-77.048,-102.019,-72.570,28.800,0.000
-77.048,-101.005,-72.532,30.400,0.000
-77.048,-103.498,-72.494,32.000,0.000
-77.048,-103.484,-72.457,33.600,0.000
-77.059,-101.978,-72.419,35.200,0.000
-77.059,-99.964,-72.380,36.800,0.000
-77.059,-100.857,-72.342,38.400,0.000
-77.059,-99.543,-72.304,40.000,0.000
-77.059,-100.929,-72.265,41.600,0.000
-77.070,-99.222,-72.226,43.200,0.000
-77.070,-97.508,-72.187,44.800,0.000
-77.070,-100.801,-72.148,46.400,0.000
-77.070,-99.687,-72.108,48.000,0.000
-77.070,-99.980,-72.069,49.600,0.000
-77.081,-101.266,-72.029,51.200,0.000
-77.081,-99.659,-71.989,52.800,0.000
-77.081,-99.945,-71.949,54.400,0.000
-78.581,-99.930,-71.909,56.000,0.000
-83.092,-101.023,-71.868,57.600,0.000
-92.092,-99.909,-71.828,59.200,0.000
-98.092,-97.002,-71.787,60.800,0.000
-99.592,-99.088,-71.746,62.400,0.000
-96.603,-98.731,-71.704,64.000,0.000
-98.603,-98.967,-71.663,65.600,0.000
-113.853,-99.459,-71.621,67.200,0.000
-107.603,-100.095,-71.579,68.800,0.000
-102.615,-99.081,-71.537,70.400,0.000
-94.365,-100.274,-71.495,72.000,0.000
-84.615,-101.059,-71.453,73.600,0.000
