rssi1,rssi2,rssi3,rssi4,rssi5,x,y
-66.088,-110.855,-116.097,-77.631,-83.936,155.200,0.000
-66.166,-110.855,-113.082,-77.610,-83.150,156.800,0.000
-66.244,-110.366,-113.574,-77.589,-82.082,158.400,0.000
-66.322,-107.377,-115.559,-77.568,-81.464,160.000,0.000
-66.398,-112.877,-119.051,-77.547,-79.228,161.600,0.000
-66.474,-119.888,-118.543,-77.526,-78.110,163.200,0.000
-66.549,-123.888,-115.528,-77.505,-78.991,164.800,0.000
-66.624,-124.898,-115.520,-77.484,-80.323,166.400,0.000
-66.698,-126.398,-110.505,-77.462,-80.255,168.000,0.000
-66.771,-129.409,-109.247,-77.441,-80.218,169.600,0.000
-66.844,-136.920,-110.981,-77.420,-83.200,171.200,0.000
-66.916,-135.420,-111.724,-77.398,-82.681,172.800,0.000
-66.987,-132.430,-110.708,-77.377,-82.163,174.400,0.000
-67.058,-127.430,-109.200,-77.355,-82.644,176.000,0.000
-67.128,-112.441,-108.685,-77.334,-82.607,177.600,0.000
-67.198,-97.452,-108.177,-77.312,-80.588,179.200,0.000
-67.267,-84.952,-107.169,-77.290,-80.070,180.800,0.000
-67.336,-77.462,-107.154,-77.269,-79.551,182.400,0.000
-67.404,-77.462,-107.146,-77.247,-79.532,184.000,0.000
-67.472,-77.473,-109.630,-77.225,-79.494,185.600,0.000
-67.539,-77.484,-107.622,-77.203,-80.476,187.200,0.000
-67.605,-77.484,-108.107,-77.181,-81.457,188.800,0.000
-67.671,-77.494,-107.099,-77.159,-82.938,190.400,0.000
-67.737,-77.505,-109.591,-77.137,-82.919,192.000,0.000
-67.802,-77.505,-111.575,-77.115,-80.400,193.600,0.000
-67.867,-78.516,-112.817,-77.092,-78.380,195.200,0.000
-67.931,-82.026,-112.801,-77.070,-77.842,196.800,0.000
-67.994,-86.026,-112.293,-77.048,-77.823,198.400,0.000
-68.058,-92.037,-112.286,-77.025,-77.304,200.000,0.000
-68.120,-95.547,-108.270,-77.003,-76.284,201.600,0.000
-68.183,-92.047,-106.012,-76.980,-75.765,203.200,0.000
-68.244,-93.558,-105.746,-76.958,-78.245,204.800,0.000
-68.306,-100.068,-105.488,-76.935,-79.226,206.400,0.000
-68.367,-107.568,-105.472,-76.913,-79.207,208.000,0.000
-68.427,-104.579,-105.464,-76.890,-78.687,209.600,0.000
-68.487,-97.589,-105.456,-76.867,-82.167,211.200,0.000
-68.547,-95.589,-105.440,-76.844,-84.148,212.800,0.000
-68.606,-93.600,-105.932,-76.821,-79.608,214.400,0.000
-68.665,-90.610,-102.916,-76.798,-81.089,216.000,0.000
-68.724,-90.860,-98.908,-76.775,-78.069,217.600,0.000
-68.782,-92.121,-97.900,-76.752,-76.049,219.200,0.000
-68.839,-93.131,-98.384,-76.729,-76.029,220.800,0.000
-68.897,-95.642,-96.876,-76.706,-74.509,222.400,0.000
-68.954,-98.142,-100.368,-76.682,-72.989,224.000,0.000
-69.010,-99.652,-101.351,-76.659,-71.969,225.600,0.000
-69.067,-96.163,-103.843,-76.636,-71.949,227.200,0.000
-69.122,-94.173,-100.327,-76.612,-71.929,228.800,0.000
-69.150,-92.673,-100.319,-76.589,-71.909,230.400,0.000
-69.206,-93.683,-97.311,-76.565,-71.888,232.000,0.000
-69.261,-95.194,-97.794,-76.541,-71.868,233.600,0.000
-69.315,-93.704,-96.286,-76.518,-71.848,235.200,0.000
-69.369,-89.954,-96.270,-76.494,-71.828,236.800,0.000
-69.423,-93.465,-96.262,-76.470,-71.807,238.400,0.000
-69.477,-96.225,-96.754,-76.446,-71.807,240.000,0.000
-69.530,-96.235,-101.737,-76.422,-71.787,241.600,0.000
-69.583,-94.985,-100.729,-76.398,-71.766,243.200,0.000
-69.636,-94.996,-100.721,-76.374,-71.746,244.800,0.000
-69.688,-95.256,-97.704,-76.350,-71.725,246.400,0.000
-69.740,-94.266,-96.196,-76.325,-71.704,248.000,0.000
-69.792,-91.276,-98.438,-76.301,-71.684,249.600,0.000
-69.843,-88.776,-96.571,-76.277,-71.663,251.200,0.000
-69.894,-89.287,-94.763,-76.252,-71.642,252.800,0.000
-69.945,-90.797,-93.205,-76.228,-71.621,254.400,0.000
-69.996,-92.307,-92.588,-76.203,-71.600,256.000,0.000
-70.046,-94.317,-91.180,-76.178,-71.600,257.600,0.000
-70.096,-95.317,-89.272,-76.154,-71.579,259.200,0.000
