loss,accuracy,mse,mae,mape,val_loss,val_accuracy,val_mse,val_mae,val_mape,epoch
0.09156538546085358,0.5609118938446045,0.09156538546085358,0.25324979424476624,1246344.125,0.059126947075128555,0.7106211185455322,0.059126947075128555,0.19726568460464478,922941.1875,1
0.049129437655210495,0.7720701694488525,0.049129437655210495,0.1751706600189209,863929.3125,0.028604069724678993,0.8443219661712646,0.028604069724678993,0.1295914649963379,619214.875,2
0.02282613329589367,0.8566397428512573,0.02282613329589367,0.11117620021104813,558866.5,0.020556138828396797,0.8603184819221497,0.020556138828396797,0.10422828048467636,475033.375,3
0.01937222108244896,0.8662055134773254,0.01937222108244896,0.09962974488735199,495023.5625,0.018823988735675812,0.866839587688446,0.018823988735675812,0.09860830754041672,444325.0,4
0.018105043098330498,0.8699164986610413,0.018105043098330498,0.0953068882226944,467661.21875,0.017212968319654465,0.871163010597229,0.017212968319654465,0.09226900339126587,485850.28125,5
0.016999579966068268,0.8748254776000977,0.016999579966068268,0.09134874492883682,439054.625,0.01789211295545101,0.8572561144828796,0.01789211295545101,0.09763447940349579,486198.46875,6
0.015892818570137024,0.8774736523628235,0.015892818570137024,0.08753097802400589,416548.96875,0.015536523424088955,0.8765672445297241,0.015536523424088955,0.08522987365722656,431939.1875,7
0.015612232498824596,0.8783653378486633,0.015612232498824596,0.08678916841745377,404092.625,0.015277469530701637,0.8760988712310791,0.015277469530701637,0.08619346469640732,416715.0625,8
0.015456391498446465,0.8777528405189514,0.015456391498446465,0.08615093678236008,404055.03125,0.016517071053385735,0.8749819993972778,0.016517071053385735,0.08800016343593597,374310.84375,9
0.015204145573079586,0.8777709007263184,0.015204145573079586,0.08503270894289017,396457.09375,0.014815468341112137,0.8751261234283447,0.014815468341112137,0.08412930369377136,416297.40625,10
0.01506118569523096,0.8794372081756592,0.01506118569523096,0.0845344215631485,398265.21875,0.01439107395708561,0.8784406781196594,0.01439107395708561,0.08156107366085052,401713.71875,11
0.015025755390524864,0.877554714679718,0.015025755390524864,0.08435428887605667,392357.78125,0.015089739114046097,0.8773958683013916,0.015089739114046097,0.08407457172870636,447865.59375,12
0.014869322068989277,0.8803920149803162,0.014869322068989277,0.08390829712152481,395772.78125,0.015689337626099586,0.8754863739013672,0.015689337626099586,0.08556734025478363,399098.5625,13
0.014838920906186104,0.8795543313026428,0.014838920906186104,0.08351924270391464,392490.96875,0.014223238453269005,0.8792693614959717,0.014223238453269005,0.07935630530118942,376499.96875,14
0.015063322149217129,0.8789238333702087,0.015063322149217129,0.08473461866378784,395750.5625,0.014507443644106388,0.8767833709716797,0.014507443644106388,0.0817250981926918,371735.6875,15
0.0146220987662673,0.8815539479255676,0.0146220987662673,0.08268655836582184,388153.0,0.0150334807112813,0.8795936107635498,0.0150334807112813,0.08410967886447906,387120.65625,16
