RSSI-1,RSSI-2,RSSI-3,RSSI-4,RSSI-5,RSSI-6,RSSI-7,RSSI-8,RSSI-9,X,Y
-62.586,-71.324,-77.170,-77.960,-80.758,-79.055,-78.372,-70.835,-73.774,96.000,0.000
-62.703,-71.324,-77.170,-77.949,-80.743,-79.037,-78.353,-70.789,-73.758,97.600,0.000
-62.819,-71.345,-77.181,-77.939,-80.736,-79.019,-78.334,-70.743,-73.741,99.200,0.000
-62.933,-71.367,-77.181,-77.929,-80.721,-79.011,-78.315,-70.697,-73.708,100.800,0.000
-63.046,-71.388,-77.181,-77.919,-80.714,-78.993,-78.295,-70.650,-73.692,102.400,0.000
-63.157,-71.388,-77.192,-77.909,-80.699,-78.975,-78.276,-70.603,-73.659,104.000,0.000
-63.212,-71.410,-77.192,-77.899,-80.692,-78.957,-78.256,-70.556,-73.643,105.600,0.000
-63.322,-71.431,-77.203,-77.899,-80.677,-78.939,-78.237,-70.509,-73.626,107.200,0.000
-63.430,-71.453,-77.203,-77.889,-80.670,-78.921,-78.217,-70.461,-73.593,108.800,0.000
-63.536,-71.453,-77.203,-77.879,-80.655,-78.912,-78.198,-70.414,-73.576,110.400,0.000
-63.642,-71.474,-77.214,-77.868,-80.647,-78.894,-78.178,-70.365,-73.543,112.000,0.000
-63.746,-71.495,-77.214,-77.858,-80.633,-78.876,-78.159,-70.317,-73.526,113.600,0.000
-63.848,-71.516,-77.225,-77.848,-80.625,-78.858,-78.139,-70.268,-73.509,115.200,0.000
-63.950,-71.537,-77.225,-77.848,-80.610,-78.839,-78.119,-70.219,-73.475,116.800,0.000
-64.050,-71.537,-77.236,-77.838,-80.603,-78.821,-78.099,-70.170,-73.459,118.400,0.000
-64.150,-71.558,-77.236,-77.828,-80.588,-78.803,-78.080,-70.121,-73.425,120.000,0.000
-64.248,-71.579,-77.236,-77.817,-80.581,-78.794,-78.060,-70.071,-73.408,121.600,0.000
-64.345,-71.600,-77.247,-77.807,-80.566,-78.776,-78.040,-70.021,-73.391,123.200,0.000
-64.441,-71.621,-77.247,-77.797,-80.558,-78.757,-78.020,-69.971,-73.357,124.800,0.000
-64.536,-71.642,-77.258,-77.797,-80.543,-78.739,-78.000,-69.920,-73.340,126.400,0.000
-64.630,-71.663,-77.258,-77.787,-80.536,-78.720,-77.980,-69.869,-73.322,128.000,0.000
-64.722,-71.684,-77.269,-77.776,-80.521,-78.702,-77.960,-69.818,-73.288,129.600,0.000
-64.814,-71.684,-77.269,-77.766,-80.514,-78.693,-77.939,-69.766,-73.271,131.200,0.000
-64.905,-71.704,-77.279,-77.756,-80.498,-78.674,-77.919,-69.714,-73.253,132.800,0.000
-64.995,-71.725,-77.279,-77.756,-80.491,-78.656,-77.899,-69.662,-73.219,134.400,0.000
-65.084,-71.746,-77.290,-77.746,-80.476,-78.637,-77.879,-69.610,-73.201,136.000,0.000
-65.173,-71.766,-77.290,-77.735,-80.468,-78.618,-77.858,-69.557,-73.184,137.600,0.000
-65.260,-71.787,-77.301,-77.725,-80.461,-78.600,-77.838,-69.504,-73.149,139.200,0.000
-65.346,-71.807,-77.301,-77.725,-80.446,-78.590,-77.817,-69.450,-73.131,140.800,0.000
-65.432,-71.828,-77.312,-77.715,-80.438,-78.572,-77.797,-69.396,-73.114,142.400,0.000
-65.517,-71.848,-77.312,-77.704,-80.423,-78.553,-77.776,-69.342,-73.079,144.000,0.000
-65.601,-71.868,-77.323,-77.694,-80.415,-78.534,-77.756,-69.288,-73.061,145.600,0.000
-65.684,-71.888,-77.323,-77.683,-80.400,-78.515,-77.735,-69.233,-73.043,147.200,0.000
-65.766,-71.909,-77.334,-77.683,-80.393,-78.496,-77.715,-69.178,-73.026,148.800,0.000
-65.848,-71.929,-77.334,-77.673,-80.377,-78.487,-77.694,-69.150,-72.990,150.400,0.000
-65.928,-71.949,-77.344,-77.663,-80.370,-78.468,-77.673,-69.095,-72.972,152.000,0.000
-66.008,-71.969,-77.344,-77.652,-80.355,-78.449,-77.652,-69.039,-72.954,153.600,0.000
-66.088,-71.989,-77.355,-77.652,-80.347,-78.430,-77.631,-68.982,-72.936,155.200,0.000
-66.166,-72.009,-77.355,-77.642,-80.332,-78.411,-77.610,-68.925,-72.900,156.800,0.000
-66.244,-72.029,-77.366,-77.631,-80.324,-78.401,-77.589,-68.868,-72.882,158.400,0.000
-66.322,-72.049,-77.377,-77.631,-80.309,-78.382,-77.568,-68.811,-72.864,160.000,0.000
-66.398,-72.069,-77.377,-77.621,-80.301,-78.363,-77.547,-68.753,-72.828,161.600,0.000
-66.474,-72.089,-77.388,-77.610,-80.293,-78.343,-77.526,-68.694,-72.810,163.200,0.000
-66.549,-72.108,-77.388,-77.600,-80.278,-78.324,-77.505,-68.636,-72.791,164.800,0.000
-66.624,-72.128,-77.398,-77.600,-80.270,-78.305,-77.484,-68.577,-72.773,166.400,0.000
-66.698,-72.148,-77.398,-77.589,-80.255,-78.295,-77.462,-68.517,-72.755,168.000,0.000
-66.771,-72.167,-77.409,-77.579,-80.247,-78.276,-77.441,-68.457,-72.718,169.600,0.000
-66.844,-72.187,-77.420,-77.579,-80.231,-78.256,-77.420,-68.397,-72.700,171.200,0.000
-66.916,-72.207,-77.420,-77.568,-80.224,-78.237,-77.398,-68.336,-72.681,172.800,0.000
-66.987,-72.226,-77.430,-77.558,-80.208,-78.217,-77.377,-68.275,-72.663,174.400,0.000
-67.058,-72.245,-77.430,-77.558,-80.200,-78.208,-77.355,-68.213,-72.644,176.000,0.000
-67.128,-72.284,-77.441,-77.547,-80.185,-78.188,-77.334,-68.151,-72.607,177.600,0.000
-67.198,-72.304,-77.452,-77.537,-80.177,-78.168,-77.312,-68.089,-72.588,179.200,0.000
-67.267,-72.323,-77.452,-77.537,-80.169,-78.149,-77.290,-68.026,-72.570,180.800,0.000
-67.336,-72.342,-77.462,-77.526,-80.154,-78.129,-77.269,-67.963,-72.551,182.400,0.000
-67.404,-72.361,-77.462,-77.516,-80.146,-78.119,-77.247,-67.899,-72.532,184.000,0.000
-67.472,-72.380,-77.473,-77.516,-80.130,-78.099,-77.225,-67.834,-72.494,185.600,0.000
-67.539,-72.400,-77.484,-77.505,-80.122,-78.080,-77.203,-67.770,-72.476,187.200,0.000
-67.605,-72.419,-77.484,-77.494,-80.107,-78.060,-77.181,-67.704,-72.457,188.800,0.000
-67.671,-72.457,-77.494,-77.494,-80.099,-78.040,-77.159,-67.638,-72.438,190.400,0.000
-67.737,-72.476,-77.505,-77.484,-80.091,-78.020,-77.137,-67.572,-72.419,192.000,0.000
-67.802,-72.494,-77.505,-77.473,-80.075,-78.010,-77.115,-67.505,-72.400,193.600,0.000
-67.867,-72.513,-77.516,-77.473,-80.067,-77.990,-77.092,-67.438,-72.380,195.200,0.000
-67.931,-72.532,-77.526,-77.462,-80.051,-77.970,-77.070,-67.370,-72.342,196.800,0.000
-67.994,-72.551,-77.526,-77.452,-80.043,-77.949,-77.048,-67.302,-72.323,198.400,0.000
-68.058,-72.588,-77.537,-77.452,-80.036,-77.929,-77.025,-67.233,-72.304,200.000,0.000
-68.120,-72.607,-77.547,-77.441,-80.020,-77.919,-77.003,-67.163,-72.284,201.600,0.000
-68.183,-72.626,-77.547,-77.441,-80.012,-77.899,-76.980,-67.093,-72.265,203.200,0.000
-68.244,-72.644,-77.558,-77.430,-79.996,-77.879,-76.958,-67.023,-72.245,204.800,0.000
-68.306,-72.663,-77.568,-77.420,-79.988,-77.858,-76.935,-66.951,-72.226,206.400,0.000
-68.367,-72.700,-77.568,-77.420,-79.972,-77.838,-76.913,-66.880,-72.207,208.000,0.000
-68.427,-72.718,-77.579,-77.409,-79.964,-77.828,-76.890,-66.807,-72.187,209.600,0.000
-68.487,-72.737,-77.589,-77.409,-79.956,-77.807,-76.867,-66.734,-72.167,211.200,0.000
-68.547,-72.755,-77.589,-77.398,-79.940,-77.787,-76.844,-66.661,-72.148,212.800,0.000
-68.606,-72.773,-77.600,-77.388,-79.932,-77.766,-76.821,-66.586,-72.108,214.400,0.000
-68.665,-72.810,-77.610,-77.388,-79.916,-77.756,-76.798,-66.512,-72.089,216.000,0.000
-68.724,-72.828,-77.610,-77.377,-79.908,-77.735,-76.775,-66.436,-72.069,217.600,0.000
-68.782,-72.846,-77.621,-77.377,-79.900,-77.715,-76.752,-66.360,-72.049,219.200,0.000
-68.839,-72.864,-77.631,-77.366,-79.884,-77.694,-76.729,-66.283,-72.029,220.800,0.000
-68.897,-72.900,-77.642,-77.366,-79.876,-77.673,-76.706,-66.205,-72.009,222.400,0.000
-68.954,-72.918,-77.642,-77.355,-79.868,-77.663,-76.682,-66.127,-71.989,224.000,0.000
-69.010,-72.936,-77.652,-77.355,-79.851,-77.642,-76.659,-66.048,-71.969,225.600,0.000
-69.067,-72.954,-77.663,-77.344,-79.843,-77.621,-76.636,-65.969,-71.949,227.200,0.000
-69.122,-72.990,-77.673,-77.344,-79.827,-77.600,-76.612,-65.888,-71.929,228.800,0.000
-69.150,-73.008,-77.673,-77.334,-79.819,-77.579,-76.589,-65.807,-71.909,230.400,0.000
-69.206,-73.026,-77.683,-77.323,-79.811,-77.568,-76.565,-65.725,-71.888,232.000,0.000
-69.261,-73.061,-77.694,-77.323,-79.794,-77.547,-76.541,-65.642,-71.868,233.600,0.000
-69.315,-73.079,-77.704,-77.312,-79.786,-77.526,-76.518,-65.559,-71.848,235.200,0.000
-69.369,-73.096,-77.704,-77.312,-79.770,-77.505,-76.494,-65.474,-71.828,236.800,0.000
-69.423,-73.114,-77.715,-77.301,-79.762,-77.494,-76.470,-65.389,-71.807,238.400,0.000
-69.477,-73.149,-77.725,-77.301,-79.754,-77.473,-76.446,-65.303,-71.807,240.000,0.000
-69.530,-73.166,-77.735,-77.290,-79.737,-77.452,-76.422,-65.216,-71.787,241.600,0.000
-69.583,-73.184,-77.735,-77.290,-79.729,-77.430,-76.398,-65.129,-71.766,243.200,0.000
-69.636,-73.219,-77.746,-77.279,-79.721,-77.409,-76.374,-65.040,-71.746,244.800,0.000
-69.688,-73.236,-77.756,-77.279,-79.704,-77.398,-76.350,-64.950,-71.725,246.400,0.000
-69.740,-73.253,-77.766,-77.269,-79.696,-77.377,-76.325,-64.860,-71.704,248.000,0.000
-69.792,-73.288,-77.776,-77.269,-79.688,-77.355,-76.301,-64.769,-71.684,249.600,0.000
-69.843,-73.305,-77.776,-77.269,-79.671,-77.334,-76.277,-64.676,-71.663,251.200,0.000
-69.894,-73.322,-77.787,-77.258,-79.663,-77.323,-76.252,-64.583,-71.642,252.800,0.000
-69.945,-73.357,-77.797,-77.258,-79.655,-77.301,-76.228,-64.488,-71.621,254.400,0.000
-69.996,-73.374,-77.807,-77.247,-79.638,-77.279,-76.203,-64.393,-71.600,256.000,0.000
-70.046,-73.391,-77.817,-77.247,-79.630,-77.258,-76.178,-64.296,-71.600,257.600,0.000
