rssi1,rssi2,rssi3,x,y
-77.642,-79.876,-66.205,222.400,0.000
-77.642,-79.868,-66.127,224.000,0.000
-77.652,-79.851,-66.048,225.600,0.000
-77.663,-79.843,-65.969,227.200,0.000
-77.673,-79.827,-65.888,228.800,0.000
-77.673,-79.819,-65.807,230.400,0.000
-77.683,-79.811,-65.725,232.000,0.000
-77.694,-79.794,-65.642,233.600,0.000
-77.704,-79.786,-65.559,235.200,0.000
-77.704,-79.770,-65.474,236.800,0.000
-77.715,-79.762,-65.389,238.400,0.000
-77.725,-79.754,-65.303,240.000,0.000
-77.735,-79.737,-65.216,241.600,0.000
-77.735,-79.729,-65.129,243.200,0.000
-77.746,-79.721,-65.040,244.800,0.000
-77.756,-79.704,-64.950,246.400,0.000
-77.766,-79.696,-64.860,248.000,0.000
-77.776,-79.688,-64.769,249.600,0.000
-77.776,-79.671,-64.676,251.200,0.000
-77.787,-79.663,-64.583,252.800,0.000
-77.797,-79.655,-64.488,254.400,0.000
-77.807,-79.638,-64.393,256.000,0.000
-77.817,-79.630,-64.296,257.600,0.000
-77.817,-79.622,-64.199,259.200,0.000
-77.828,-79.605,-64.100,260.800,0.000
-77.838,-79.597,-64.000,262.400,0.000
-77.848,-79.580,-63.899,264.000,0.000
-77.858,-79.572,-63.797,265.600,0.000
-77.868,-79.563,-63.694,267.200,0.000
-77.868,-79.547,-63.589,268.800,0.000
-77.879,-79.538,-63.483,270.400,0.000
-77.889,-79.530,-63.376,272.000,0.000
-77.899,-79.521,-63.267,273.600,0.000
-77.909,-79.505,-63.157,275.200,0.000
-77.919,-79.496,-63.102,276.800,0.000
-77.929,-79.488,-62.990,278.400,0.000
-77.929,-79.471,-62.876,280.000,0.000
-77.939,-79.462,-62.761,281.600,0.000
-77.949,-79.454,-62.645,283.200,0.000
-77.960,-79.437,-62.526,284.800,0.000
-77.970,-79.428,-62.407,286.400,0.000
-77.980,-79.420,-62.285,288.000,0.000
-77.990,-79.403,-62.162,289.600,0.000
-78.000,-79.394,-62.037,291.200,0.000
-78.010,-79.386,-61.910,292.800,0.000
-78.010,-79.377,-61.781,294.400,0.000
-78.020,-79.360,-61.651,296.000,0.000
-78.030,-79.352,-61.518,297.600,0.000
-78.040,-79.343,-61.384,299.200,0.000
-78.050,-79.326,-61.247,300.800,0.000
-78.060,-79.317,-61.108,302.400,0.000
-78.070,-79.309,-60.967,304.000,0.000
-78.080,-79.300,-60.823,305.600,0.000
-78.089,-79.283,-60.677,307.200,0.000
-78.099,-79.274,-60.529,308.800,0.000
-78.109,-79.265,-60.377,310.400,0.000
-78.119,-79.248,-60.224,312.000,0.000
-78.129,-79.239,-60.067,313.600,0.000
-78.139,-79.231,-59.908,315.200,0.000
-78.139,-79.222,-59.745,316.800,0.000
-78.149,-79.205,-59.663,318.400,0.000
-78.159,-79.196,-59.496,320.000,0.000
-78.168,-79.187,-59.326,321.600,0.000
-78.178,-79.178,-59.152,323.200,0.000
-78.188,-79.161,-58.975,324.800,0.000
-78.198,-79.152,-58.794,326.400,0.000
-78.208,-79.143,-58.609,328.000,0.000
-78.217,-79.134,-58.420,329.600,0.000
-78.227,-79.117,-58.227,331.200,0.000
-78.237,-79.108,-58.030,332.800,0.000
-78.247,-79.099,-57.828,334.400,0.000
-78.256,-79.090,-57.621,336.000,0.000
-78.266,-79.073,-57.409,337.600,0.000
-78.276,-79.064,-57.301,339.200,0.000
-78.286,-79.055,-57.081,340.800,0.000
-78.295,-79.046,-56.856,342.400,0.000
-78.305,-79.037,-56.624,344.000,0.000
-78.315,-79.019,-56.386,345.600,0.000
-78.324,-79.011,-56.141,347.200,0.000
-78.334,-79.002,-55.890,348.800,0.000
-78.343,-78.993,-55.630,350.400,0.000
-78.353,-78.984,-55.498,352.000,0.000
-78.363,-78.966,-55.226,353.600,0.000
-78.372,-78.957,-54.946,355.200,0.000
-78.382,-78.948,-54.656,356.800,0.000
-78.391,-78.939,-54.357,358.400,0.000
-78.401,-78.930,-54.047,360.000,0.000
-78.420,-78.912,-53.887,361.600,0.000
-78.430,-78.903,-53.559,363.200,0.000
-78.439,-78.894,-53.219,364.800,0.000
-78.449,-78.885,-52.864,366.400,0.000
-78.458,-78.876,-52.681,368.000,0.000
-78.468,-78.858,-52.304,369.600,0.000
-78.477,-78.848,-51.909,371.200,0.000
-78.487,-78.839,-51.704,372.800,0.000
-78.496,-78.830,-51.281,374.400,0.000
-78.506,-78.821,-51.061,376.000,0.000
-78.515,-78.812,-50.603,377.600,0.000
-78.812,-78.515,-50.603,422.400,0.000
-78.821,-78.506,-51.061,424.000,0.000
-78.830,-78.496,-51.281,425.600,0.000
-78.839,-78.487,-51.704,427.200,0.000
-78.848,-78.477,-51.909,428.800,0.000
-78.858,-78.468,-52.304,430.400,0.000
-78.876,-78.458,-52.681,432.000,0.000
-78.885,-78.449,-52.864,433.600,0.000
-78.894,-78.439,-53.219,435.200,0.000
-78.903,-78.430,-53.559,436.800,0.000
-78.912,-78.420,-53.887,438.400,0.000
-78.930,-78.401,-54.047,440.000,0.000
-78.939,-78.391,-54.357,441.600,0.000
-78.948,-78.382,-54.656,443.200,0.000
-78.957,-78.372,-54.946,444.800,0.000
-78.966,-78.363,-55.226,446.400,0.000
-78.984,-78.353,-55.498,448.000,0.000
-78.993,-78.343,-55.630,449.600,0.000
-79.002,-78.334,-55.890,451.200,0.000
-79.011,-78.324,-56.141,452.800,0.000
-79.019,-78.315,-56.386,454.400,0.000
-79.037,-78.305,-56.624,456.000,0.000
-79.046,-78.295,-56.856,457.600,0.000
-79.055,-78.286,-57.081,459.200,0.000
-79.064,-78.276,-57.301,460.800,0.000
-79.073,-78.266,-57.409,462.400,0.000
-79.090,-78.256,-57.621,464.000,0.000
-79.099,-78.247,-57.828,465.600,0.000
-79.108,-78.237,-58.030,467.200,0.000
-79.117,-78.227,-58.227,468.800,0.000
-79.134,-78.217,-58.420,470.400,0.000
-79.143,-78.208,-58.609,472.000,0.000
-79.152,-78.198,-58.794,473.600,0.000
-79.161,-78.188,-58.975,475.200,0.000
-79.178,-78.178,-59.152,476.800,0.000
-79.187,-78.168,-59.326,478.400,0.000
-79.196,-78.159,-59.496,480.000,0.000
-79.205,-78.149,-59.663,481.600,0.000
-79.222,-78.139,-59.745,483.200,0.000
-79.231,-78.139,-59.908,484.800,0.000
-79.239,-78.129,-60.067,486.400,0.000
-79.248,-78.119,-60.224,488.000,0.000
-79.265,-78.109,-60.377,489.600,0.000
-79.274,-78.099,-60.529,491.200,0.000
-79.283,-78.089,-60.677,492.800,0.000
-79.300,-78.080,-60.823,494.400,0.000
-79.309,-78.070,-60.967,496.000,0.000
-79.317,-78.060,-61.108,497.600,0.000
-79.326,-78.050,-61.247,499.200,0.000
-79.343,-78.040,-61.384,500.800,0.000
-79.352,-78.030,-61.518,502.400,0.000
-79.360,-78.020,-61.651,504.000,0.000
-79.377,-78.010,-61.781,505.600,0.000
-79.386,-78.010,-61.910,507.200,0.000
-79.394,-78.000,-62.037,508.800,0.000
-79.403,-77.990,-62.162,510.400,0.000
-79.420,-77.980,-62.285,512.000,0.000
-79.428,-77.970,-62.407,513.600,0.000
-79.437,-77.960,-62.526,515.200,0.000
-79.454,-77.949,-62.645,516.800,0.000
-79.462,-77.939,-62.761,518.400,0.000
-79.471,-77.929,-62.876,520.000,0.000
-79.488,-77.929,-62.990,521.600,0.000
-79.496,-77.919,-63.102,523.200,0.000
-79.505,-77.909,-63.157,524.800,0.000
-79.521,-77.899,-63.267,526.400,0.000
-79.530,-77.889,-63.376,528.000,0.000
-79.538,-77.879,-63.483,529.600,0.000
-79.547,-77.868,-63.589,531.200,0.000
-79.563,-77.868,-63.694,532.800,0.000
-79.572,-77.858,-63.797,534.400,0.000
-79.580,-77.848,-63.899,536.000,0.000
-79.597,-77.838,-64.000,537.600,0.000
-79.605,-77.828,-64.100,539.200,0.000
-79.622,-77.817,-64.199,540.800,0.000
-79.630,-77.817,-64.296,542.400,0.000
-79.638,-77.807,-64.393,544.000,0.000
-79.655,-77.797,-64.488,545.600,0.000
-79.663,-77.787,-64.583,547.200,0.000
-79.671,-77.776,-64.676,548.800,0.000
-79.688,-77.776,-64.769,550.400,0.000
-79.696,-77.766,-64.860,552.000,0.000
-79.704,-77.756,-64.950,553.600,0.000
-79.721,-77.746,-65.040,555.200,0.000
-79.729,-77.735,-65.129,556.800,0.000
-79.737,-77.735,-65.216,558.400,0.000
-79.754,-77.725,-65.303,560.000,0.000
-79.762,-77.715,-65.389,561.600,0.000
-79.770,-77.704,-65.474,563.200,0.000
-79.786,-77.704,-65.559,564.800,0.000
-79.794,-77.694,-65.642,566.400,0.000
-79.811,-77.683,-65.725,568.000,0.000
-79.819,-77.673,-65.807,569.600,0.000
-79.827,-77.673,-65.888,571.200,0.000
-79.843,-77.663,-65.969,572.800,0.000
-79.851,-77.652,-66.048,574.400,0.000
-79.868,-77.642,-66.127,576.000,0.000
-79.876,-77.642,-66.205,577.600,0.000
-79.884,-77.631,-66.283,579.200,0.000
-79.900,-77.621,-66.360,580.800,0.000
-79.908,-77.610,-66.436,582.400,0.000
-79.916,-77.610,-66.512,584.000,0.000
-79.932,-77.600,-66.586,585.600,0.000
-79.940,-77.589,-66.661,587.200,0.000
-79.956,-77.589,-66.734,588.800,0.000
-79.964,-77.579,-66.807,590.400,0.000
-79.972,-77.568,-66.880,592.000,0.000
-79.988,-77.568,-66.951,593.600,0.000
-79.996,-77.558,-67.023,595.200,0.000
-80.012,-77.547,-67.093,596.800,0.000
-80.020,-77.547,-67.163,598.400,0.000
-80.036,-77.537,-67.233,600.000,0.000
-80.043,-77.526,-67.302,601.600,0.000
-80.051,-77.526,-67.370,603.200,0.000
-80.067,-77.516,-67.438,604.800,0.000
-80.075,-77.505,-67.505,606.400,0.000
-80.091,-77.505,-67.572,608.000,0.000
-80.099,-77.494,-67.638,609.600,0.000
-80.107,-77.484,-67.704,611.200,0.000
-80.122,-77.484,-67.770,612.800,0.000
-80.130,-77.473,-67.834,614.400,0.000
-80.146,-77.462,-67.899,616.000,0.000
-80.154,-77.462,-67.963,617.600,0.000
-80.169,-77.452,-68.026,619.200,0.000
-80.177,-77.452,-68.089,620.800,0.000
-80.185,-77.441,-68.151,622.400,0.000
-80.200,-77.430,-68.213,624.000,0.000
-80.208,-77.430,-68.275,625.600,0.000
-80.224,-77.420,-68.336,627.200,0.000
-80.231,-77.420,-68.397,628.800,0.000
-80.247,-77.409,-68.457,630.400,0.000
-80.255,-77.398,-68.517,632.000,0.000
-80.270,-77.398,-68.577,633.600,0.000
-80.278,-77.388,-68.636,635.200,0.000
