RSSI-1,RSSI-2,RSSI-3,RSSI-4,RSSI-5,RSSI-6,RSSI-7,RSSI-8,RSSI-9,X,Y
-50.365,-70.720,-77.025,-91.025,-103.454,-79.980,-79.437,-73.184,-87.479,1.600,0.000
-50.835,-70.743,-77.025,-91.815,-102.540,-79.964,-79.420,-73.149,-87.551,3.200,0.000
-51.061,-70.743,-77.025,-92.106,-102.634,-79.948,-79.403,-73.114,-87.437,4.800,0.000
-51.495,-70.743,-77.025,-94.687,-102.720,-79.932,-79.386,-73.079,-87.309,6.400,0.000
-51.909,-70.743,-77.025,-94.377,-103.313,-79.924,-79.369,-73.043,-88.195,8.000,0.000
-52.108,-70.743,-77.025,-94.518,-105.100,-79.908,-79.352,-73.008,-89.067,9.600,0.000
-52.494,-70.766,-77.025,-97.558,-107.536,-79.892,-79.334,-72.972,-89.839,11.200,0.000
-52.864,-70.766,-77.037,-97.899,-112.229,-79.876,-79.317,-72.936,-91.374,12.800,0.000
-53.043,-70.766,-77.037,-98.289,-114.015,-79.859,-79.300,-72.900,-94.096,14.400,0.000
-53.391,-70.766,-77.037,-97.930,-114.009,-79.843,-79.283,-72.864,-96.732,16.000,0.000
-53.725,-70.766,-77.037,-98.870,-111.295,-79.827,-79.265,-72.828,-97.703,17.600,0.000
-54.047,-70.789,-77.037,-98.861,-111.481,-79.811,-79.248,-72.791,-98.674,19.200,0.000
-54.203,-70.789,-77.037,-99.401,-110.574,-79.803,-79.231,-72.755,-98.660,20.800,0.000
-54.508,-70.789,-77.037,-100.141,-109.561,-79.786,-79.213,-72.718,-98.631,22.400,0.000
-54.802,-70.812,-77.037,-102.032,-108.654,-79.770,-79.196,-72.681,-96.117,24.000,0.000
-55.087,-70.812,-77.048,-102.922,-110.940,-79.754,-79.178,-72.644,-96.088,25.600,0.000
-55.363,-70.812,-77.048,-104.713,-108.333,-79.737,-79.161,-72.607,-94.973,27.200,0.000
-55.498,-70.812,-77.048,-106.903,-110.619,-79.721,-79.143,-72.570,-92.944,28.800,0.000
-55.761,-70.835,-77.048,-111.493,-110.405,-79.704,-79.126,-72.532,-92.930,30.400,0.000
-56.016,-70.835,-77.048,-112.634,-110.498,-79.688,-79.108,-72.494,-92.900,32.000,0.000
-56.265,-70.835,-77.048,-106.774,-110.784,-79.680,-79.090,-72.457,-92.871,33.600,0.000
-56.506,-70.858,-77.059,-105.615,-110.678,-79.663,-79.073,-72.419,-92.756,35.200,0.000
-56.741,-70.858,-77.059,-106.105,-110.464,-79.647,-79.055,-72.380,-92.727,36.800,0.000
-56.969,-70.881,-77.059,-109.845,-110.257,-80.130,-79.037,-72.342,-92.712,38.400,0.000
-57.192,-70.881,-77.059,-110.936,-109.543,-80.113,-79.019,-72.304,-93.182,40.000,0.000
-57.301,-70.881,-77.059,-111.476,-107.629,-80.597,-79.002,-72.265,-95.668,41.600,0.000
-57.516,-70.903,-77.070,-109.166,-110.222,-80.580,-78.984,-72.226,-95.538,43.200,0.000
-57.725,-70.903,-77.070,-106.856,-105.008,-81.072,-78.966,-72.187,-95.123,44.800,0.000
-57.929,-70.926,-77.070,-106.147,-102.501,-81.055,-78.948,-72.148,-95.093,46.400,0.000
-58.129,-70.926,-77.070,-106.937,-98.887,-81.538,-78.930,-72.108,-95.078,48.000,0.000
-58.324,-70.926,-77.070,-109.727,-99.280,-82.021,-78.912,-72.069,-95.448,49.600,0.000
-58.515,-70.949,-77.081,-114.467,-98.366,-82.005,-78.894,-72.029,-95.433,51.200,0.000
-58.702,-70.949,-77.081,-115.708,-98.259,-82.488,-78.876,-71.989,-94.902,52.800,0.000
-58.885,-70.971,-77.081,-120.998,-98.045,-82.471,-78.858,-71.949,-92.287,54.400,0.000
-59.064,-70.971,-77.081,-124.638,-96.430,-82.954,-78.839,-71.909,-92.157,56.000,0.000
-59.239,-70.994,-77.092,-122.778,-98.023,-82.945,-78.821,-71.868,-92.542,57.600,0.000
