rssi1,rssi2,rssi3,rssi4,rssi5,x,y
-66.088,-86.855,-99.247,-77.631,-86.436,155.200,0.000
-66.166,-87.255,-100.432,-77.610,-91.400,156.800,0.000
-66.244,-88.066,-99.024,-77.589,-93.882,158.400,0.000
-66.322,-88.177,-97.109,-77.568,-92.864,160.000,0.000
-66.398,-88.377,-96.101,-77.547,-91.078,161.600,0.000
-66.474,-88.688,-95.993,-77.526,-89.310,163.200,0.000
-66.549,-91.388,-96.178,-77.505,-87.541,164.800,0.000
-66.624,-101.698,-95.670,-77.484,-84.773,166.400,0.000
-66.698,-110.898,-95.555,-77.462,-83.255,168.000,0.000
-66.771,-104.659,-95.447,-77.441,-82.218,169.600,0.000
-66.844,-105.170,-94.831,-77.420,-85.700,171.200,0.000
-66.916,-107.620,-94.824,-77.398,-87.431,172.800,0.000
-66.987,-99.130,-94.608,-77.377,-88.663,174.400,0.000
-67.058,-99.630,-93.300,-77.355,-88.644,176.000,0.000
-67.128,-99.941,-92.685,-77.334,-88.607,177.600,0.000
-67.198,-99.752,-91.077,-77.312,-91.088,179.200,0.000
-67.267,-100.252,-90.469,-77.290,-88.570,180.800,0.000
-67.336,-99.662,-90.154,-77.269,-86.051,182.400,0.000
-67.404,-99.462,-89.546,-77.247,-86.032,184.000,0.000
-67.472,-99.373,-89.730,-77.225,-87.994,185.600,0.000
-67.539,-99.484,-89.722,-77.203,-88.976,187.200,0.000
-67.605,-98.684,-89.807,-77.181,-88.957,188.800,0.000
-67.671,-106.294,-89.799,-77.159,-88.938,190.400,0.000
-67.737,-110.605,-89.691,-77.137,-88.919,192.000,0.000
-67.802,-112.305,-89.875,-77.115,-91.400,193.600,0.000
-67.867,-112.716,-90.067,-77.092,-91.380,195.200,0.000
-67.931,-105.226,-90.251,-77.070,-94.842,196.800,0.000
-67.994,-95.726,-90.243,-77.048,-94.323,198.400,0.000
-68.058,-86.037,-90.236,-77.025,-96.804,200.000,0.000
-68.120,-83.747,-90.220,-77.003,-94.284,201.600,0.000
-68.183,-83.747,-90.212,-76.980,-96.765,203.200,0.000
-68.244,-83.358,-90.296,-76.958,-94.245,204.800,0.000
-68.306,-82.668,-90.188,-76.935,-96.726,206.400,0.000
-68.367,-82.568,-89.872,-76.913,-94.207,208.000,0.000
-68.427,-82.879,-89.664,-76.890,-96.687,209.600,0.000
-68.487,-82.989,-89.356,-76.867,-96.667,211.200,0.000
-68.547,-83.189,-89.140,-76.844,-93.148,212.800,0.000
-68.606,-83.000,-89.732,-76.821,-88.608,214.400,0.000
-68.665,-82.710,-90.316,-76.798,-84.089,216.000,0.000
-68.724,-83.210,-90.508,-76.775,-80.069,217.600,0.000
-68.782,-83.621,-91.000,-76.752,-78.049,219.200,0.000
-68.839,-83.831,-91.484,-76.729,-76.029,220.800,0.000
-68.897,-83.842,-92.076,-76.706,-76.009,222.400,0.000
-68.954,-83.642,-92.368,-76.682,-75.989,224.000,0.000
-69.010,-83.752,-93.051,-76.659,-75.969,225.600,0.000
-69.067,-83.163,-93.243,-76.636,-75.949,227.200,0.000
-69.122,-83.173,-93.827,-76.612,-75.929,228.800,0.000
-69.150,-83.373,-93.919,-76.589,-75.909,230.400,0.000
-69.206,-83.883,-94.011,-76.565,-75.888,232.000,0.000
-69.261,-85.494,-93.694,-76.541,-75.868,233.600,0.000
-69.315,-87.404,-93.986,-76.518,-74.848,235.200,0.000
-69.369,-90.604,-94.070,-76.494,-73.828,236.800,0.000
-69.423,-94.315,-94.062,-76.470,-72.807,238.400,0.000
-69.477,-96.325,-93.654,-76.446,-71.807,240.000,0.000
-69.530,-91.335,-93.937,-76.422,-71.787,241.600,0.000
-69.583,-87.435,-94.029,-76.398,-71.766,243.200,0.000
-69.636,-87.446,-93.121,-76.374,-71.746,244.800,0.000
-69.688,-87.856,-93.204,-76.350,-71.725,246.400,0.000
-69.740,-88.766,-93.096,-76.325,-71.704,248.000,0.000
-69.792,-89.826,-92.788,-76.301,-71.684,249.600,0.000
-69.843,-90.826,-92.771,-76.277,-71.663,251.200,0.000
-69.894,-93.187,-92.263,-76.252,-71.642,252.800,0.000
-69.945,-91.497,-92.255,-76.228,-71.621,254.400,0.000
-69.996,-89.707,-92.138,-76.203,-71.600,256.000,0.000
-70.046,-89.617,-91.830,-76.178,-71.600,257.600,0.000
-70.096,-89.417,-91.922,-76.154,-71.579,259.200,0.000
-70.145,-89.728,-91.805,-76.129,-71.558,260.800,0.000
-70.195,-91.738,-91.097,-76.104,-71.537,262.400,0.000
-70.244,-91.148,-91.180,-76.079,-71.516,264.000,0.000
-70.293,-89.958,-91.172,-76.054,-71.495,265.600,0.000
-70.341,-89.968,-91.563,-76.029,-71.495,267.200,0.000
-70.389,-97.268,-91.547,-76.004,-71.474,268.800,0.000
-70.437,-104.279,-91.438,-75.978,-71.453,270.400,0.000
-70.485,-111.289,-91.530,-75.953,-71.431,272.000,0.000
-70.533,-104.599,-91.621,-75.928,-71.410,273.600,0.000
-70.580,-100.109,-91.805,-75.902,-71.410,275.200,0.000
