loss,accuracy,mse,mae,mape,val_loss,val_accuracy,val_mse,val_mae,val_mape,epoch
0.07180482149124146,0.7284442186355591,0.07180482149124146,0.21419136226177216,1007323.875,0.03196532279253006,0.8234646320343018,0.03196532279253006,0.14068597555160522,489277.09375,1
0.02855822816491127,0.8257745504379272,0.02855822816491127,0.1327940821647644,472661.40625,0.02636128105223179,0.8298733830451965,0.02636128105223179,0.124749556183815,447670.90625,2
0.023732321336865425,0.8338935971260071,0.023732321336865425,0.11825088411569595,384986.71875,0.021955544129014015,0.8472123742103577,0.021955544129014015,0.11105769127607346,351074.1875,3
0.021973541006445885,0.845629870891571,0.021973541006445885,0.11244453489780426,365346.9375,0.021598616614937782,0.843437910079956,0.021598616614937782,0.11202714592218399,300827.6875,4
0.020791931077837944,0.8538767099380493,0.020791931077837944,0.10844352096319199,352465.34375,0.020350974053144455,0.8607769012451172,0.020350974053144455,0.1056409627199173,291095.5,5
0.019788183271884918,0.8633325695991516,0.019788183271884918,0.1046472117304802,336628.03125,0.01862191967666149,0.8693481087684631,0.01862191967666149,0.0998612493276596,321082.1875,6
0.018939053639769554,0.8703113794326782,0.018939053639769554,0.10141659528017044,324580.40625,0.018450025469064713,0.8779586553573608,0.018450025469064713,0.09886832535266876,230754.578125,7
0.01800891011953354,0.8792266249656677,0.01800891011953354,0.09783221781253815,312988.03125,0.01864468678832054,0.8489816784858704,0.01864468678832054,0.10185208171606064,290502.8125,8
0.01752551645040512,0.8797377347946167,0.01752551645040512,0.09587419778108597,300102.25,0.016857894137501717,0.874262809753418,0.016857894137501717,0.09322570264339447,266508.1875,9
0.017241954803466797,0.8822638988494873,0.017241954803466797,0.09462477266788483,285276.9375,0.01843452826142311,0.8814578652381897,0.01843452826142311,0.09815745800733566,342069.1875,10
0.01688564009964466,0.8839446902275085,0.01688564009964466,0.09311927109956741,283894.6875,0.016806794330477715,0.8729259967803955,0.016806794330477715,0.09362386167049408,233918.5625,11
0.01653008535504341,0.8831288814544678,0.01653008535504341,0.09177903831005096,280281.34375,0.016302617266774178,0.8836596608161926,0.016302617266774178,0.08970469981431961,301723.15625,12
0.01646965742111206,0.8848981857299805,0.01646965742111206,0.09148787707090378,270050.625,0.019469715654850006,0.8364394307136536,0.019469715654850006,0.10003247112035751,195783.6875,13
0.01654858887195587,0.88579261302948,0.01654858887195587,0.09146934747695923,277486.25,0.015883639454841614,0.8705276250839233,0.015883639454841614,0.08868107199668884,261829.9375,14
0.01559101976454258,0.8894000053405762,0.01559101976454258,0.08767974376678467,257570.5,0.016054585576057434,0.8833451271057129,0.016054585576057434,0.08856695890426636,215899.734375,15
0.015585730783641338,0.8898423314094543,0.015585730783641338,0.08764693886041641,253357.8125,0.01564916968345642,0.8965951204299927,0.01564916968345642,0.08639466017484665,211024.9375,16
0.01562587544322014,0.8885841965675354,0.01562587544322014,0.08774952590465546,252115.53125,0.015803486108779907,0.8882991075515747,0.015803486108779907,0.08717961609363556,281684.375,17
0.015309358946979046,0.8905500769615173,0.015309358946979046,0.08642670512199402,246147.875,0.01579856686294079,0.8681292533874512,0.01579856686294079,0.0875501036643982,224628.515625,18
0.015357562340795994,0.8912380933761597,0.015357562340795994,0.08651261031627655,249275.953125,0.015918776392936707,0.8929778933525085,0.015918776392936707,0.08879977464675903,318995.78125,19
0.01526067778468132,0.8904713988304138,0.01526067778468132,0.0861794501543045,245746.921875,0.015186585485935211,0.8963198661804199,0.015186585485935211,0.08427835255861282,248321.6875,20
0.01484330277889967,0.8938330411911011,0.01484330277889967,0.08429326862096786,238585.359375,0.01455078087747097,0.8976960182189941,0.01455078087747097,0.08264674991369247,250089.296875,21
0.014475804753601551,0.8970276117324829,0.014475804753601551,0.0825033187866211,233207.71875,0.015158411115407944,0.8922702074050903,0.015158411115407944,0.08518284559249878,228027.890625,22
0.01468714140355587,0.8939706683158875,0.01468714140355587,0.08361031860113144,230457.453125,0.01568378508090973,0.8790595531463623,0.01568378508090973,0.08663370460271835,267266.625,23
0.015103950165212154,0.8921129107475281,0.015103950165212154,0.0853520929813385,245331.234375,0.014345891773700714,0.8930172324180603,0.014345891773700714,0.08147072046995163,240639.765625,24
0.015349083580076694,0.8908842206001282,0.015349083580076694,0.08589448779821396,249526.609375,0.015331411734223366,0.8956907987594604,0.015331411734223366,0.08427557349205017,249544.265625,25
0.014603255316615105,0.8951403498649597,0.014603255316615105,0.08316618949174881,236509.21875,0.01376070361584425,0.9008414149284363,0.01376070361584425,0.07911453396081924,193303.4375,26
0.014142480678856373,0.8975485563278198,0.014142480678856373,0.08096810430288315,216258.34375,0.014848836697638035,0.8875520825386047,0.014848836697638035,0.08339552581310272,193402.390625,27
0.01447318959981203,0.897528886795044,0.01447318959981203,0.08252009004354477,228015.34375,0.014429423026740551,0.8899111151695251,0.014429423026740551,0.08271317183971405,246469.03125,28
0.014521360397338867,0.8957301378250122,0.014521360397338867,0.08264384418725967,227229.78125,0.015515553764998913,0.8950223922729492,0.015515553764998913,0.08409319818019867,248909.046875,29
0.014187386259436607,0.8969981074333191,0.014187386259436607,0.08118527382612228,228027.875,0.014129340648651123,0.8995046019554138,0.014129340648651123,0.07964320480823517,221163.046875,30
0.013921712525188923,0.8991408944129944,0.013921712525188923,0.07995299994945526,221433.203125,0.014243674464523792,0.8864511847496033,0.014243674464523792,0.0813133493065834,230382.734375,31
0.014124001376330853,0.8964476585388184,0.014124001376330853,0.08083654940128326,226587.078125,0.0145318154245615,0.8841707706451416,0.0145318154245615,0.08245278894901276,266360.25,32
