loss,accuracy,mse,mae,mape,val_loss,val_accuracy,val_mse,val_mae,val_mape,epoch
0.0347554087638855,0.8241068124771118,0.0347554087638855,0.11164391785860062,401296.71875,0.00042010279139503837,0.9855072498321533,0.00042010279139503837,0.012528404593467712,61557.984375,1
0.00032278973958455026,0.9830496311187744,0.00032278973958455026,0.0114960428327322,43456.625,0.0001375690335407853,0.9927255511283875,0.0001375690335407853,0.007108060177415609,27070.4140625,2
0.00022881651239003986,0.9826494455337524,0.00022881651239003986,0.010050905868411064,38391.7109375,6.345700239762664e-05,0.9939051866531372,6.345700239762664e-05,0.004554157145321369,27752.45703125,3
0.0002285285881953314,0.9820595979690552,0.0002285285881953314,0.010063855908811092,40113.16015625,5.764127490692772e-05,0.9923884868621826,5.764127490692772e-05,0.005114967469125986,30629.267578125,4
0.000123336270917207,0.9851281046867371,0.000123336270917207,0.008221607655286789,32822.03125,4.951026494381949e-05,0.9916020631790161,4.951026494381949e-05,0.0053286440670490265,23637.119140625,5
0.00013559017679654062,0.9845031499862671,0.00013559017679654062,0.008692631497979164,32125.078125,4.597315637511201e-05,0.9890742897987366,4.597315637511201e-05,0.005306493956595659,32774.6484375,6
0.00017177287372760475,0.9824457764625549,0.00017177287372760475,0.009264223277568817,35495.6640625,0.00011860658560181037,0.9897764325141907,0.00011860658560181037,0.008649816736578941,45826.44140625,7
7.614677451783791e-05,0.9888986945152283,7.614677451783791e-05,0.006492006592452526,27711.19921875,5.8594065194483846e-05,0.9905628561973572,5.8594065194483846e-05,0.005837773904204369,17718.154296875,8
0.00017803489754442126,0.9827196598052979,0.00017803489754442126,0.009820482693612576,33801.19921875,4.5371583837550133e-05,0.9899730086326599,4.5371583837550133e-05,0.004944273270666599,39716.45703125,9
6.009818389429711e-05,0.9923253059387207,6.009818389429711e-05,0.005663336720317602,27163.267578125,1.0940898391709197e-05,0.9961521029472351,1.0940898391709197e-05,0.0023111002519726753,21447.1875,10
9.684306132839993e-05,0.9876348376274109,9.684306132839993e-05,0.007345291320234537,27899.3671875,2.233260420325678e-05,0.9909841418266296,2.233260420325678e-05,0.003941250964999199,20751.349609375,11
0.0001080860965885222,0.9882106184959412,0.0001080860965885222,0.007518397644162178,29069.44140625,2.0108442186028697e-05,0.996826171875,2.0108442186028697e-05,0.0037080126348882914,13924.2275390625,12
0.00012236539623700082,0.9875786304473877,0.00012236539623700082,0.00839138776063919,27768.224609375,0.00012432067887857556,0.9797775745391846,0.00012432067887857556,0.009510550647974014,33178.17578125,13
8.917058585211635e-05,0.9883299469947815,8.917058585211635e-05,0.007004904095083475,26012.568359375,1.9433473426033743e-05,0.9953656792640686,1.9433473426033743e-05,0.0033825428690761328,21206.607421875,14
9.640595089877024e-05,0.9895095825195312,9.640595089877024e-05,0.006899082101881504,28147.775390625,2.877942461054772e-05,0.9916020631790161,2.877942461054772e-05,0.004324182402342558,14294.4052734375,15
8.206570782931522e-05,0.9901345372200012,8.206570782931522e-05,0.006822994910180569,24216.81640625,0.0001723065070109442,0.9954218864440918,0.0001723065070109442,0.012270225211977959,42462.046875,16
8.844958938425407e-05,0.9894253611564636,8.844958938425407e-05,0.006708950269967318,26050.96875,8.431889727944508e-05,0.9958431720733643,8.431889727944508e-05,0.00821016076952219,9773.06640625,17
0.00010550732258707285,0.9883018732070923,0.00010550732258707285,0.007484074216336012,26971.892578125,6.775331712560728e-05,0.9845523238182068,6.775331712560728e-05,0.007442441303282976,13382.6044921875,18
0.00012465784675441682,0.9856406450271606,0.00012465784675441682,0.008104890584945679,28942.197265625,0.0001487144618295133,0.9960959553718567,0.0001487144618295133,0.011728588491678238,40035.1796875,19
6.392637442331761e-05,0.9955833554267883,6.392637442331761e-05,0.006392519921064377,21347.611328125,7.502984954044223e-05,0.9852825403213501,7.502984954044223e-05,0.006734917405992746,25809.67578125,20
